data_point,s1,s2,s3,datetime,"c(1, 2)","c(1, 3)","c(2, 3)"
0,1.0,2.0,0.7,2025-01-01 00:00:00,,,
1,1.009999833,1.99995,0.706999883,2025-01-01 00:10:00,,,
2,1.019998667,1.999800007,0.713999067,2025-01-01 00:20:00,,,
3,1.0299955,1.999550034,0.72099685,2025-01-01 00:30:00,,,
4,1.039989334,1.999200107,0.727992534,2025-01-01 00:40:00,,,
5,1.049979169,1.99875026,0.734985418,2025-01-01 00:50:00,,,
6,1.059964006,1.99820054,0.741974805,2025-01-01 01:00:00,,,
7,1.069942847,1.997551,0.748959993,2025-01-01 01:10:00,,,
8,1.079914694,1.996801706,0.755940286,2025-01-01 01:20:00,,,
9,1.089878549,1.995952733,0.762914984,2025-01-01 01:30:00,,,
10,1.099833417,1.995004165,0.769883392,2025-01-01 01:40:00,,,
11,1.109778301,1.993956098,0.776844811,2025-01-01 01:50:00,,,
12,1.119712207,1.992808636,0.783798545,2025-01-01 02:00:00,,,
13,1.129634143,1.991561894,0.7907439,2025-01-01 02:10:00,,,
14,1.139543115,1.990215996,0.79768018,2025-01-01 02:20:00,-0.9641522750809999,1.0,-0.9641522739554679
15,1.149438132,1.988771078,0.804606693,2025-01-01 02:30:00,-0.9721541234050178,1.0,-0.972154123198662
16,1.159318207,1.987227283,0.811522745,2025-01-01 02:40:00,-0.9777565895623395,1.0,-0.9777565896004233
17,1.169182349,1.985584767,0.818427644,2025-01-01 02:50:00,-0.9818238154332387,1.0,-0.9818238152026109
18,1.179029573,1.983843693,0.825320701,2025-01-01 03:00:00,-0.9848658537324572,0.9999999999999997,-0.984865853641053
19,1.188858895,1.982004235,0.832201226,2025-01-01 03:10:00,-0.9871984611654869,0.9999999999999999,-0.987198460808633
20,1.198669331,1.980066578,0.839068532,2025-01-01 03:20:00,-0.9890251564437674,0.9999999999999999,-0.9890251568872588
21,1.2084599,1.978030915,0.84592193,2025-01-01 03:30:00,-0.9904816776290779,1.0,-0.9904816777061167
22,1.218229623,1.975897449,0.852760736,2025-01-01 03:40:00,-0.9916612817497257,0.9999999999999999,-0.9916612817948051
23,1.227977524,1.973666395,0.859584266,2025-01-01 03:50:00,-0.9926296993133195,1.0,-0.99262969890231
24,1.237702626,1.971337975,0.866391838,2025-01-01 04:00:00,-0.9934343051661269,0.9999999999999999,-0.9934343050814617
25,1.247403959,1.968912422,0.873182771,2025-01-01 04:10:00,-0.9941099323799438,0.9999999999999997,-0.994109932356077
26,1.257080552,1.966389978,0.879956386,2025-01-01 04:20:00,-0.9946826407278166,0.9999999999999999,-0.9946826405903879
27,1.266731437,1.963770896,0.886712006,2025-01-01 04:30:00,-0.995172239810338,0.9999999999999997,-0.9951722398542269
28,1.276355649,1.961055438,0.893448954,2025-01-01 04:40:00,-0.9955939988588182,1.0,-0.9955939989342605
29,1.285952225,1.958243876,0.900166558,2025-01-01 04:50:00,-0.9959598409003161,1.0,-0.9959598415387756
30,1.295520207,1.955336489,0.906864145,2025-01-01 05:00:00,-0.9962791788122992,0.9999999999999998,-0.996279179209313
31,1.305058636,1.95233357,0.913541046,2025-01-01 05:10:00,-0.9965595291887673,0.9999999999999999,-0.9965595296984152
32,1.314566561,1.949235418,0.920196592,2025-01-01 05:20:00,-0.9968069476406108,1.0,-0.9968069477784729
33,1.324043028,1.946042344,0.92683012,2025-01-01 05:30:00,-0.9970263591453815,1.0,-0.9970263593205413
34,1.333487092,1.942754666,0.933440964,2025-01-01 05:40:00,-0.9972218002875628,0.9999999999999999,-0.9972218003640135
35,1.342897807,1.939372713,0.940028465,2025-01-01 05:50:00,-0.9973966041579283,0.9999999999999999,-0.9973966040477379
36,1.352274233,1.935896824,0.946591963,2025-01-01 06:00:00,-0.9975535445286919,1.0,-0.9975535442331781
37,1.361615432,1.932327346,0.953130802,2025-01-01 06:10:00,-0.9976949434063926,0.9999999999999998,-0.9976949428811537
38,1.370920469,1.928664636,0.959644329,2025-01-01 06:20:00,-0.9978227546821956,1.0,-0.9978227545781305
39,1.380188415,1.92490906,0.966131891,2025-01-01 06:30:00,-0.9979386347817699,0.9999999999999999,-0.9979386347915796
