created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2025-03-18 06:54:26 UTC,1,6.0,6.0,3.6,5.0,0.0,0.0,0.0,0.0
2025-03-18 06:54:43 UTC,2,6.0,4.0,2.4,3.0,10.0,10.0,10.0,10.0
2025-03-18 06:54:59 UTC,3,6.0,7.0,4.2,6.0,3.0,3.0,3.0,3.0
2025-03-18 06:55:16 UTC,4,9.0,4.0,3.6,5.0,13.0,13.0,13.0,13.0
2025-03-18 06:55:31 UTC,5,4.0,4.0,1.6,3.0,22.0,22.0,22.0,22.0
2025-03-18 06:55:47 UTC,6,6.0,5.0,3.0,8.0,31.0,31.0,31.0,31.0
2025-03-18 06:56:03 UTC,7,3.0,4.0,1.2,7.0,41.0,41.0,41.0,41.0
2025-03-18 06:56:20 UTC,8,4.0,5.0,2.0,3.0,51.0,51.0,51.0,51.0
2025-03-18 06:56:36 UTC,9,7.0,7.0,4.9,5.0,61.0,61.0,61.0,61.0
2025-03-18 06:56:53 UTC,10,6.0,6.0,3.6,6.0,71.0,71.0,71.0,71.0
2025-03-18 06:57:09 UTC,11,5.0,7.0,3.5,5.0,81.0,81.0,81.0,81.0
2025-03-18 06:57:26 UTC,12,7.0,4.0,2.8,5.0,91.0,91.0,91.0,91.0
2025-03-18 06:57:42 UTC,13,9.0,4.0,3.6,5.0,101.0,101.0,101.0,101.0
2025-03-18 06:57:59 UTC,14,6.0,5.0,3.0,3.0,111.0,111.0,111.0,111.0
2025-03-18 06:58:15 UTC,15,8.0,6.0,4.8,4.0,121.0,121.0,121.0,121.0
2025-03-18 06:58:32 UTC,16,8.0,4.0,3.2,4.0,131.0,131.0,131.0,131.0
2025-03-18 06:58:48 UTC,17,7.0,3.0,2.1,5.0,141.0,141.0,141.0,141.0
2025-03-18 06:59:05 UTC,18,5.0,10.0,5.0,6.0,151.0,151.0,151.0,151.0
2025-03-18 06:59:21 UTC,19,5.0,3.0,1.5,3.0,161.0,161.0,161.0,161.0
2025-03-18 06:59:38 UTC,20,6.0,8.0,4.8,4.0,171.0,171.0,171.0,171.0
2025-03-18 06:59:54 UTC,21,2.0,12.0,2.4,6.0,181.0,181.0,181.0,181.0
2025-03-18 07:00:09 UTC,22,9.0,5.0,4.5,5.0,190.0,190.0,190.0,190.0
2025-03-18 07:00:26 UTC,23,6.0,7.0,4.2,5.0,200.0,200.0,200.0,200.0
2025-03-18 07:00:43 UTC,24,4.0,7.0,2.8,4.0,210.0,210.0,210.0,210.0
2025-03-18 07:00:59 UTC,25,9.0,8.0,7.2,4.0,220.0,220.0,220.0,220.0
2025-03-18 07:01:16 UTC,26,6.0,5.0,3.0,4.0,230.0,230.0,230.0,230.0
2025-03-18 07:01:32 UTC,27,3.0,7.0,2.1,6.0,240.0,240.0,240.0,240.0
2025-03-18 07:01:49 UTC,28,2.0,9.0,1.8,7.0,250.0,250.0,250.0,250.0
2025-03-18 07:02:05 UTC,29,6.0,8.0,4.8,6.0,260.0,260.0,260.0,260.0
2025-03-18 07:02:22 UTC,30,8.0,6.0,4.8,5.0,270.0,270.0,270.0,270.0
2025-03-18 07:02:38 UTC,31,8.0,5.0,4.0,6.0,280.0,280.0,280.0,280.0
2025-03-18 07:02:55 UTC,32,7.0,3.0,2.1,6.0,290.0,290.0,290.0,290.0
2025-03-18 07:03:11 UTC,33,8.0,8.0,6.4,5.0,300.0,300.0,300.0,300.0
2025-03-18 07:03:28 UTC,34,4.0,7.0,2.8,8.0,310.0,310.0,310.0,310.0
2025-03-18 07:03:45 UTC,35,3.0,8.0,2.4,4.0,320.0,320.0,320.0,320.0
2025-03-18 07:04:01 UTC,36,4.0,3.0,1.2,6.0,330.0,330.0,330.0,330.0
2025-03-18 07:04:18 UTC,37,7.0,7.0,4.9,4.0,340.0,340.0,340.0,340.0
2025-03-18 07:04:34 UTC,38,3.0,5.0,1.5,9.0,350.0,350.0,350.0,350.0
2025-03-18 07:04:51 UTC,39,6.0,5.0,3.0,3.0,360.0,360.0,360.0,360.0
2025-03-18 07:05:07 UTC,40,7.0,8.0,5.6,6.0,369.0,369.0,369.0,369.0
2025-03-18 07:05:24 UTC,41,8.0,8.0,6.4,3.0,379.0,379.0,379.0,379.0
2025-03-18 07:05:40 UTC,42,6.0,7.0,4.2,6.0,389.0,389.0,389.0,389.0
2025-03-18 07:05:57 UTC,43,8.0,5.0,4.0,5.0,399.0,399.0,399.0,399.0
2025-03-18 07:06:13 UTC,44,7.0,8.0,5.6,6.0,409.0,409.0,409.0,409.0
2025-03-18 07:06:30 UTC,45,4.0,4.0,1.6,7.0,419.0,419.0,419.0,419.0
2025-03-18 07:06:46 UTC,46,5.0,6.0,3.0,7.0,429.0,429.0,429.0,429.0
